lat,lon,psl
-90.0,238.75,-47.938206
-90.0,240.0,-47.938217
-90.0,241.25,-47.938217
-90.0,242.5,-47.938206
-90.0,243.75,-47.938198
-90.0,245.0,-47.938217
-90.0,246.25,-47.938198
-90.0,247.5,-47.938217
-90.0,248.75,-47.938217
-90.0,250.0,-47.938217
-90.0,251.25,-47.938217
-90.0,252.5,-47.938206
-90.0,253.75,-47.938217
-90.0,255.0,-47.938217
-90.0,256.25,-47.938217
-90.0,257.5,-47.938217
-90.0,258.75,-47.938217
-90.0,260.0,-47.938217
-90.0,261.25,-47.938217
-90.0,262.5,-47.938217
-90.0,263.75,-47.938217
-90.0,265.0,-47.938206
-90.0,266.25,-47.938217
-90.0,267.5,-47.938217
-90.0,268.75,-47.938187
-90.0,270.0,-47.938206
-90.0,271.25,-47.938198
-90.0,272.5,-47.938206
-90.0,273.75,-47.938217
-90.0,275.0,-47.938206
-90.0,276.25,-47.938206
-90.0,277.5,-47.938217
-90.0,278.75,-47.938217
-90.0,280.0,-47.938206
-90.0,281.25,-47.938206
-90.0,282.5,-47.938206
-90.0,283.75,-47.938187
-90.0,285.0,-47.938217
-90.0,286.25,-47.938206
-90.0,287.5,-47.938217
-90.0,288.75,-47.938217
-90.0,290.0,-47.938206
-90.0,291.25,-47.938217
-90.0,292.5,-47.938206
-90.0,293.75,-47.938206
-90.0,295.0,-47.938217
-90.0,296.25,-47.938187
-90.0,297.5,-47.938206
-90.0,298.75,-47.938217
-90.0,300.0,-47.938206
-90.0,301.25,-47.938217
-90.0,302.5,-47.938206
-90.0,303.75,-47.938187
-90.0,305.0,-47.938217
-90.0,306.25,-47.938206
-90.0,307.5,-47.938217
-90.0,308.75,-47.938206
-90.0,310.0,-47.938217
-90.0,311.25,-47.938206
-90.0,312.5,-47.938198
-90.0,313.75,-47.938206
-90.0,315.0,-47.938206
-90.0,316.25,-47.938217
-90.0,317.5,-47.938217
-90.0,318.75,-47.938206
-90.0,320.0,-47.938217
-90.0,321.25,-47.938217
-90.0,322.5,-47.938217
-90.0,323.75,-47.938217
-90.0,325.0,-47.938217
-90.0,326.25,-47.938217
-90.0,327.5,-47.938206
-90.0,328.75,-47.938206
-90.0,330.0,-47.938217
-90.0,331.25,-47.938217
-90.0,332.5,-47.938217
-90.0,333.75,-47.938206
-90.0,335.0,-47.938217
-90.0,336.25,-47.938206
-90.0,337.5,-47.938206
-90.0,338.75,-47.938217
-90.0,340.0,-47.938187
-90.0,341.25,-47.938206
-90.0,342.5,-47.938217
-90.0,343.75,-47.938206
-90.0,345.0,-47.938217
-90.0,346.25,-47.938217
-90.0,347.5,-47.938206
-90.0,348.75,-47.938206
-90.0,350.0,-47.938206
-90.0,351.25,-47.938217
-90.0,352.5,-47.938217
-90.0,353.75,-47.938217
-90.0,355.0,-47.938187
-90.0,356.25,-47.938206
-90.0,357.5,-47.938217
-90.0,358.75,-47.938217
