month,lat,psl
1,-90.0,99730.7364366319
1,-89.05759162303664,99685.07470703092
1,-88.1151832460733,99593.53040907197
1,-87.17277486910994,99509.19289822083
1,-86.2303664921466,99429.42550998258
1,-85.28795811518324,99328.51692708304
1,-84.3455497382199,99228.44569227438
1,-83.40314136125654,99151.19900173687
1,-82.46073298429319,99095.52780490459
1,-81.51832460732984,99051.354085286
1,-80.57591623036649,99030.5244954431
1,-79.63350785340315,99032.27945963587
1,-78.69109947643979,99041.68532986139
1,-77.74869109947645,99030.19566514708
1,-76.80628272251309,98993.29456922784
1,-75.86387434554973,98935.90679253508
1,-74.92146596858639,98859.34280056461
1,-73.97905759162303,98778.74717881893
1,-73.03664921465969,98691.51497395802
1,-72.09424083769633,98595.76801215223
1,-71.15183246073298,98483.66175672742
1,-70.20942408376963,98380.87093099019
1,-69.26701570680629,98282.37961154514
1,-68.32460732984293,98182.27878146674
1,-67.38219895287958,98084.38408745635
1,-66.43979057591623,98012.42000325529
1,-65.49738219895288,97981.78282335123
1,-64.55497382198953,97989.91132269918
1,-63.61256544502618,98033.71015082425
1,-62.67015706806283,98110.9632161456
1,-61.72774869109948,98218.18017578126
1,-60.78534031413612,98350.73602973124
1,-59.84293193717278,98508.75968424417
1,-58.90052356020942,98687.82134331603
1,-57.95811518324607,98884.152994792
1,-57.01570680628272,99095.41265190979
1,-56.07329842931937,99317.48220486131
1,-55.13089005235602,99544.90814887141
1,-54.18848167539267,99773.74631076363
1,-53.24607329842932,100002.16528320342
1,-52.303664921465966,100227.48149956626
1,-51.361256544502616,100445.87158203083
1,-50.41884816753927,100654.23849826376
1,-49.47643979057592,100849.73838975639
1,-48.53403141361257,101031.37060546901
1,-47.59162303664922,101196.82874891459
1,-46.64921465968587,101345.52870008745
1,-45.70680628272251,101475.95600043463
1,-44.76439790575916,101587.98640950488
1,-43.82198952879581,101682.30305989532
1,-42.87958115183246,101758.44726562512
1,-41.93717277486911,101817.50670030343
1,-40.99476439790576,101859.41069878537
1,-40.05235602094241,101884.95073784684
1,-39.109947643979055,101896.09806315039
1,-38.167539267015705,101894.72254774335
1,-37.225130890052355,101880.46085611914
1,-36.282722513089006,101854.85625542498
1,-35.340314136125656,101820.46516927144
1,-34.397905759162306,101780.00254991387
1,-33.455497382198956,101733.45537651899
1,-32.5130890052356,101682.41501193619
1,-31.57068062827225,101627.22800021677
1,-30.6282722513089,101571.8050944003
1,-29.68586387434555,101516.95496961745
1,-28.7434554973822,101464.60161675297
1,-27.80104712041885,101413.12141927092
1,-26.8586387434555,101363.95391167581
1,-25.916230366492144,101316.02284071186
1,-24.9738219895288,101269.37190755171
1,-24.031413612565444,101227.36037868891
