month,lat,plev,o3
1,-90.0,100000.0,
1,-89.05759162303664,100000.0,
1,-88.1151832460733,100000.0,
1,-87.17277486910994,100000.0,
1,-86.2303664921466,100000.0,
1,-85.28795811518324,100000.0,
1,-84.3455497382199,100000.0,
1,-83.40314136125654,100000.0,
1,-82.46073298429319,100000.0,
1,-81.51832460732984,100000.0,
1,-80.57591623036649,100000.0,
1,-79.63350785340315,100000.0,
1,-78.69109947643979,100000.0,
1,-77.74869109947645,100000.0,
1,-76.80628272251309,100000.0,
1,-75.86387434554973,100000.0,
1,-74.92146596858639,100000.0,
1,-73.97905759162303,100000.0,
1,-73.03664921465969,100000.0,
1,-72.09424083769633,100000.0,
1,-71.15183246073298,100000.0,
1,-70.20942408376963,100000.0,
1,-69.26701570680629,100000.0,
1,-68.32460732984293,100000.0,
1,-67.38219895287958,100000.0,
1,-66.43979057591623,100000.0,
1,-65.49738219895288,100000.0,
1,-64.55497382198953,100000.0,
1,-63.61256544502618,100000.0,
1,-62.67015706806283,100000.0,
1,-61.72774869109948,100000.0,
1,-60.78534031413612,100000.0,
1,-59.84293193717278,100000.0,
1,-58.90052356020942,100000.0,
1,-57.95811518324607,100000.0,
1,-57.01570680628272,100000.0,
1,-56.07329842931937,100000.0,
1,-55.13089005235602,100000.0,
1,-54.18848167539267,100000.0,
1,-53.24607329842932,100000.0,
1,-52.303664921465966,100000.0,
1,-51.361256544502616,100000.0,
1,-50.41884816753927,100000.0,1.4415361566742411e-08
1,-49.47643979057592,100000.0,1.4629587854115094e-08
1,-48.53403141361257,100000.0,1.488582924414609e-08
1,-47.59162303664922,100000.0,1.5019122175332163e-08
1,-46.64921465968587,100000.0,1.5155348872804505e-08
1,-45.70680628272251,100000.0,1.529470389530481e-08
1,-44.76439790575916,100000.0,1.5410998190474646e-08
1,-43.82198952879581,100000.0,1.5547011882268168e-08
1,-42.87958115183246,100000.0,1.5653343902123578e-08
1,-41.93717277486911,100000.0,1.5754431943517248e-08
1,-40.99476439790576,100000.0,1.5848564735473906e-08
1,-40.05235602094241,100000.0,1.610932091076407e-08
1,-39.109947643979055,100000.0,1.61757820242988e-08
1,-38.167539267015705,100000.0,1.60336135278514e-08
1,-37.225130890052355,100000.0,1.6126665014702502e-08
1,-36.282722513089006,100000.0,1.6193116595322498e-08
1,-35.340314136125656,100000.0,1.6283249328352114e-08
1,-34.397905759162306,100000.0,1.596674579789143e-08
1,-33.455497382198956,100000.0,1.5781152806759736e-08
1,-32.5130890052356,100000.0,1.560847450148687e-08
1,-31.57068062827225,100000.0,1.5427389132213513e-08
1,-30.6282722513089,100000.0,1.533325744892022e-08
1,-29.68586387434555,100000.0,1.519077586843225e-08
1,-28.7434554973822,100000.0,1.5135713541226285e-08
1,-27.80104712041885,100000.0,1.5042318550579484e-08
1,-26.8586387434555,100000.0,1.5065492735626384e-08
1,-25.916230366492144,100000.0,1.498109643432973e-08
1,-24.9738219895288,100000.0,1.491271487796017e-08
1,-24.031413612565444,100000.0,1.4800853663544077e-08
1,-23.0890052356021,100000.0,1.4771081127726118e-08
1,-22.146596858638745,100000.0,1.4899470216592524e-08
1,-21.204188481675388,100000.0,1.5011910580686127e-08
1,-20.261780104712045,100000.0,1.5231913835240276e-08
1,-19.31937172774869,100000.0,1.545524906335684e-08
1,-18.376963350785346,100000.0,1.5569177941825975e-08
1,-17.43455497382199,100000.0,1.5680086811810495e-08
1,-16.492146596858646,100000.0,1.5783456392839782e-08
1,-15.54973821989529,100000.0,1.5813295467285034e-08
1,-14.607329842931932,100000.0,1.5857069586811608e-08
1,-13.66492146596859,100000.0,1.594733207393215e-08
1,-12.722513089005233,100000.0,1.5895649833434303e-08
1,-11.78010471204189,100000.0,1.56288622693341e-08
1,-10.837696335078533,100000.0,1.5476027248541643e-08
1,-9.89528795811519,100000.0,1.529322881560233e-08
1,-8.952879581151834,100000.0,1.5005504222509457e-08
1,-8.010471204188477,100000.0,1.479941299587019e-08
1,-7.068062827225134,100000.0,1.473897309386041e-08
1,-6.125654450261777,100000.0,1.5016020711300394e-08
1,-5.1832460732984345,100000.0,1.5682351014281267e-08
1,-4.240837696335078,100000.0,1.5965222414786753e-08
1,-3.298429319371735,100000.0,1.63441357857691e-08
1,-2.356020942408378,100000.0,1.701047307882189e-08
1,-1.4136125654450211,100000.0,1.8111257232683466e-08
1,-0.47120418848167844,100000.0,1.943949308018838e-08
1,0.47120418848167844,100000.0,2.0840817823634164e-08
1,1.4136125654450211,100000.0,2.2172205069851698e-08
1,2.356020942408378,100000.0,2.4100886647504555e-08
1,3.2984293193717207,100000.0,2.608070994147039e-08
1,4.240837696335078,100000.0,2.801761103382921e-08
1,5.1832460732984345,100000.0,2.828458177719275e-08
1,6.125654450261777,100000.0,2.826966395264277e-08
1,7.068062827225134,100000.0,2.8456726373363153e-08
1,8.010471204188477,100000.0,2.981896548883188e-08
1,8.952879581151834,100000.0,3.083622520327347e-08
1,9.895287958115176,100000.0,3.205859245928501e-08
1,10.837696335078533,100000.0,3.2656332947401525e-08
1,11.78010471204189,100000.0,3.3207049964490814e-08
1,12.722513089005233,100000.0,3.3979619477047644e-08
1,13.66492146596859,100000.0,3.4368319557797414e-08
1,14.607329842931932,100000.0,3.520745543823699e-08
1,15.54973821989529,100000.0,3.619104825039671e-08
1,16.492146596858632,100000.0,3.715473744291708e-08
1,17.43455497382199,100000.0,3.80236752488662e-08
1,18.376963350785346,100000.0,3.9110114286179115e-08
1,19.31937172774869,100000.0,4.0152056270185344e-08
1,20.261780104712045,100000.0,4.092663778998598e-08
1,21.204188481675388,100000.0,4.149979197438531e-08
1,22.146596858638745,100000.0,4.205918287721503e-08
1,23.089005235602087,100000.0,4.298804384385229e-08
1,24.031413612565444,100000.0,4.372825436284119e-08
1,24.9738219895288,100000.0,4.431870728183172e-08
1,25.916230366492144,100000.0,4.497941972658736e-08
1,26.8586387434555,100000.0,4.5398323051164695e-08
1,27.801047120418843,100000.0,4.5624540817191995e-08
1,28.7434554973822,100000.0,4.5717566541018764e-08
1,29.685863874345543,100000.0,4.52702511724268e-08
1,30.6282722513089,100000.0,4.515948980643011e-08
1,31.570680628272257,100000.0,4.5057333721462895e-08
1,32.5130890052356,100000.0,4.505984272575673e-08
1,33.455497382198956,100000.0,4.518561969985707e-08
1,34.3979057591623,100000.0,4.583624732293604e-08
1,35.340314136125656,100000.0,4.560808715705214e-08
1,36.282722513089,100000.0,4.579997810591162e-08
1,37.225130890052355,100000.0,4.5928835424327777e-08
1,38.16753926701571,100000.0,4.542577878583555e-08
1,39.10994764397907,100000.0,4.5563706755818447e-08
1,40.0523560209424,100000.0,4.5426186387496205e-08
1,40.994764397905755,100000.0,4.5687921523641906e-08
1,41.93717277486911,100000.0,4.533602979367346e-08
1,42.87958115183247,100000.0,4.5257960008329e-08
1,43.8219895287958,100000.0,4.5252291921879476e-08
1,44.764397905759154,100000.0,4.424917176926725e-08
1,45.70680628272251,100000.0,4.353460801564405e-08
1,46.64921465968587,100000.0,4.2919488043352435e-08
1,47.591623036649224,100000.0,4.4048698049350994e-08
1,48.53403141361255,100000.0,4.437141000473289e-08
1,49.47643979057591,100000.0,4.455700153811685e-08
1,50.41884816753927,100000.0,4.449483875579444e-08
1,51.36125654450262,100000.0,4.406484554457438e-08
1,52.30366492146598,100000.0,4.158460810841273e-08
1,53.24607329842931,100000.0,4.099646269245816e-08
1,54.188481675392666,100000.0,4.09372840128077e-08
1,55.13089005235602,100000.0,4.214079105224752e-08
1,56.07329842931938,100000.0,4.24793741590885e-08
1,57.01570680628271,100000.0,4.338126792558322e-08
1,57.958115183246065,100000.0,4.382260799089141e-08
1,58.90052356020942,100000.0,4.3828930272339e-08
1,59.84293193717278,100000.0,4.4156989924198095e-08
1,60.785340314136135,100000.0,4.480726865097037e-08
1,61.727748691099464,100000.0,4.562142831930844e-08
1,62.67015706806282,100000.0,4.54040546394986e-08
1,63.61256544502618,100000.0,
1,64.55497382198953,100000.0,4.0220252373046604e-08
1,65.49738219895289,100000.0,4.0408038100755065e-08
1,66.43979057591622,100000.0,4.0606684920546215e-08
1,67.38219895287958,100000.0,4.144720097290895e-08
1,68.32460732984293,100000.0,4.380593501615782e-08
1,69.26701570680629,100000.0,4.3359241265974584e-08
1,70.20942408376962,100000.0,4.3694705555351094e-08
1,71.15183246073298,100000.0,4.488467487163668e-08
1,72.09424083769633,100000.0,4.5072115465470844e-08
1,73.03664921465969,100000.0,4.507409022229769e-08
1,73.97905759162305,100000.0,4.5156092664724505e-08
1,74.92146596858638,100000.0,4.5200526986028516e-08
1,75.86387434554973,100000.0,4.5280377293523204e-08
1,76.80628272251309,100000.0,4.5250299594067065e-08
1,77.74869109947645,100000.0,4.5223462122696404e-08
1,78.6910994764398,100000.0,4.534701689283894e-08
1,79.63350785340313,100000.0,4.545137169712627e-08
1,80.57591623036649,100000.0,4.543535299326559e-08
1,81.51832460732984,100000.0,4.539626039953376e-08
1,82.4607329842932,100000.0,4.535027725571795e-08
1,83.40314136125653,100000.0,4.5329790066171745e-08
1,84.34554973821989,100000.0,4.531784327011321e-08
1,85.28795811518324,100000.0,4.531231441485806e-08
1,86.2303664921466,100000.0,4.530090132017439e-08
1,87.17277486910996,100000.0,4.5284083079225824e-08
1,88.11518324607329,100000.0,4.526729589266712e-08
1,89.05759162303664,100000.0,4.525889792040244e-08
1,90.0,100000.0,
2,-90.0,100000.0,
2,-89.05759162303664,100000.0,
2,-88.1151832460733,100000.0,
2,-87.17277486910994,100000.0,
2,-86.2303664921466,100000.0,
2,-85.28795811518324,100000.0,
2,-84.3455497382199,100000.0,
2,-83.40314136125654,100000.0,
2,-82.46073298429319,100000.0,
2,-81.51832460732984,100000.0,
2,-80.57591623036649,100000.0,
2,-79.63350785340315,100000.0,
2,-78.69109947643979,100000.0,
2,-77.74869109947645,100000.0,
2,-76.80628272251309,100000.0,
2,-75.86387434554973,100000.0,
2,-74.92146596858639,100000.0,
2,-73.97905759162303,100000.0,
2,-73.03664921465969,100000.0,
2,-72.09424083769633,100000.0,
2,-71.15183246073298,100000.0,
2,-70.20942408376963,100000.0,
2,-69.26701570680629,100000.0,
2,-68.32460732984293,100000.0,
2,-67.38219895287958,100000.0,
2,-66.43979057591623,100000.0,
2,-65.49738219895288,100000.0,
2,-64.55497382198953,100000.0,
2,-63.61256544502618,100000.0,
2,-62.67015706806283,100000.0,
2,-61.72774869109948,100000.0,
